source,ticker,horizon,fold,scheme,window,model,weight
e1,AAPL,5,1,softmax_ic,expanding,lgbm_reg,0.41996142809251447
e1,AAPL,5,1,softmax_ic,expanding,xgb,0.15939569148109717
e1,AAPL,5,2,softmax_ic,expanding,elasticnet,0.35528529824703864
e1,AAPL,5,2,softmax_ic,expanding,huber,0.20534305797409189
e1,AAPL,5,2,softmax_ic,expanding,pls,0.23088703808921138
e1,AAPL,5,2,softmax_ic,expanding,lgbm_reg,0.09974953865438783
e1,AAPL,5,2,softmax_ic,expanding,xgb,0.10873506703527028
e1,AAPL,5,3,softmax_ic,expanding,elasticnet,0.2326530907736055
e1,AAPL,5,3,softmax_ic,expanding,huber,0.16567445572469702
e1,AAPL,5,3,softmax_ic,expanding,pls,0.0915005809499824
e1,AAPL,5,3,softmax_ic,expanding,lgbm_reg,0.19407301495028598
e1,AAPL,5,3,softmax_ic,expanding,xgb,0.3160988576014291
e1,AAPL,5,4,softmax_ic,expanding,elasticnet,0.200940610794874
e1,AAPL,5,4,softmax_ic,expanding,huber,0.24064555604093213
e1,AAPL,5,4,softmax_ic,expanding,pls,0.13137648633674506
e1,AAPL,5,4,softmax_ic,expanding,lgbm_reg,0.17839870192203752
e1,AAPL,5,4,softmax_ic,expanding,xgb,0.24863864490541127
e1,AAPL,5,5,softmax_ic,expanding,elasticnet,0.23706577093936715
e1,AAPL,5,5,softmax_ic,expanding,huber,0.2695689126998333
e1,AAPL,5,5,softmax_ic,expanding,pls,0.11057574351844071
e1,AAPL,5,5,softmax_ic,expanding,lgbm_reg,0.14905425976362074
e1,AAPL,5,5,softmax_ic,expanding,xgb,0.2337353130787381
e1,AAPL,5,6,softmax_ic,expanding,elasticnet,0.28932925863496495
e1,AAPL,5,6,softmax_ic,expanding,huber,0.2307962705444786
e1,AAPL,5,6,softmax_ic,expanding,pls,0.15895832346740305
e1,AAPL,5,6,softmax_ic,expanding,lgbm_reg,0.14392960988043807
e1,AAPL,5,6,softmax_ic,expanding,xgb,0.1769865374727154
e1,AAPL,5,7,softmax_ic,expanding,elasticnet,0.3065346630283867
e1,AAPL,5,7,softmax_ic,expanding,huber,0.22661509082003722
e1,AAPL,5,7,softmax_ic,expanding,pls,0.1782436310335871
e1,AAPL,5,7,softmax_ic,expanding,lgbm_reg,0.1285724503468154
e1,AAPL,5,7,softmax_ic,expanding,xgb,0.16003416477117363
