setup,ticker,horizon,model,n,mae,rmse,dir_acc,corr,spearman_ic,bias
market+sent,JPM,21,huber,1512,0.07485446428280586,0.1002307442344011,0.5125661375661376,0.029850641779874225,-0.06492598551428642,-0.003169207651991658
market+sent,JPM,21,lgbm_reg,1512,0.06086994128229675,0.08167706766781889,0.5615079365079365,0.03917760351121144,0.01897356633634448,0.0013212580657383246
market+sent,JPM,21,pls,1512,0.062040769841873955,0.08134489409248032,0.5846560846560847,0.12768317213081945,0.07565394904507111,0.00349122476677194
market+sent,JPM,21,xgb,1512,0.0641686961537293,0.08420799839701604,0.5244708994708994,0.06999100501815393,0.01502215291963425,0.003430461190209799
market+sent,JPM,63,elasticnet,1512,0.14925837904798203,0.18247401269029703,0.46296296296296297,-0.02726204768943773,-0.08111078318650634,-0.023939752909478758
market+sent,JPM,63,huber,1512,0.14639399264056388,0.18254269287352914,0.49206349206349204,-0.08456525325880719,-0.128395764991551,-0.026700955653165832
market+sent,JPM,63,lgbm_reg,1512,0.11268177863488582,0.14198453165140065,0.6044973544973545,0.028403813836558323,0.03141219199308555,-0.01866882521140944
market+sent,JPM,63,pls,1512,0.11721753284594755,0.14924890447850514,0.5720899470899471,-0.05362918781905888,-0.06170709967322865,-0.020644073907849635
market+sent,JPM,63,xgb,1512,0.12317207997971355,0.15310418713864948,0.583994708994709,0.02846999274805668,0.024552995473230994,-0.012325049386285022
market+sent,MSFT,5,elasticnet,1512,0.03017497735374599,0.03945584984937809,0.49603174603174605,-0.009394132268480404,-0.03020861871817389,0.0011023728999028635
market+sent,MSFT,5,huber,1512,0.03004697153196201,0.038954568388480694,0.49206349206349204,-0.01647782605426367,-0.043418776404639495,-0.0001259766696163421
market+sent,MSFT,5,lgbm_reg,1512,0.028489735379018194,0.03700953298207576,0.5218253968253969,0.029552363430517398,0.015974725962683844,0.0006812866182638081
market+sent,MSFT,5,pls,1512,0.02883394011049936,0.037380086891883435,0.5191798941798942,0.03427892458599031,0.006705381210825533,0.00033480676179815683
market+sent,MSFT,5,xgb,1512,0.02926152739144372,0.03835991901256414,0.5271164021164021,0.05461800975850818,0.04176186842844178,0.0010756261671231887
market+sent,MSFT,21,elasticnet,1512,0.06945905911328439,0.08840024637789254,0.5085978835978836,-0.05520272676170316,-0.08580878743375141,0.006009915782541645
market+sent,MSFT,21,huber,1512,0.06892655499530422,0.08842893097626203,0.49867724867724866,-0.09252798253061391,-0.11883691551214536,0.005692423177457958
market+sent,MSFT,21,lgbm_reg,1512,0.061521659341621154,0.07746733913056968,0.5403439153439153,-0.02377046416043425,-0.06177936389694797,0.007863041218010017
market+sent,MSFT,21,pls,1512,0.06248281112931305,0.07858412016835865,0.5634920634920635,-0.005058117046694704,-0.04686952847850919,0.00864075418600113
market+sent,MSFT,21,xgb,1512,0.06652411262000466,0.08510600843878656,0.5396825396825397,-0.0008512677417525879,-0.0337102223653065,0.016228224904655916
market+sent,MSFT,63,elasticnet,1512,0.12972596306872128,0.1581426772625477,0.4828042328042328,-0.17273425305625528,-0.21158594982695225,-0.007503452016098652
market+sent,MSFT,63,huber,1512,0.13555503961852863,0.16475120258965203,0.43187830687830686,-0.25458051719711566,-0.28564031000602114,-0.019202881685536372
market+sent,MSFT,63,lgbm_reg,1512,0.11900659971920056,0.1505134508429041,0.6164021164021164,-0.2622968279045188,-0.2817376590501273,0.025825161305101995
market+sent,MSFT,63,pls,1512,0.12911574949459065,0.15792725964914983,0.5297619047619048,-0.2662690246797056,-0.2975946962836672,0.006462931093122352
market+sent,MSFT,63,xgb,1512,0.12578429197773355,0.16071637741250838,0.6104497354497355,-0.2580743701198068,-0.26335436848514987,0.03586335038958002
